id,Hardness
10407,2.6350000000000007
10408,2.6980000000000017
10409,5.909000000000001
10410,4.433000000000003
10411,5.308500000000002
10412,5.035000000000002
10413,4.2485000000000035
10414,5.009000000000003
10415,3.3980000000000037
10416,4.727000000000003
10417,4.5390000000000015
10418,3.623000000000001
10419,5.655
10420,3.877000000000002
10421,5.289000000000001
10422,4.918000000000001
10423,4.047500000000002
10424,5.173000000000002
10425,5.455
10426,3.1330000000000013
10427,3.8520000000000003
10428,4.303000000000002
10429,5.522500000000003
10430,3.624000000000001
10431,4.254000000000004
10432,5.570000000000001
10433,5.285000000000001
10434,4.669000000000002
10435,5.844000000000001
10436,4.987000000000003
10437,5.506
10438,5.828999999999999
10439,5.390000000000002
10440,3.521000000000001
10441,2.749000000000001
10442,4.1940000000000035
10443,2.2153333333333336
10444,3.414000000000003
10445,4.922000000000001
10446,3.6520000000000032
10447,4.983000000000001
10448,5.294000000000003
10449,4.0420000000000025
10450,5.736999999999999
10451,5.293000000000002
10452,2.826000000000001
10453,5.741000000000001
10454,4.761000000000002
10455,2.757000000000003
10456,3.3360000000000025
10457,2.572000000000001
10458,7.935999999999999
10459,5.472
10460,3.597000000000003
10461,5.7395000000000005
10462,5.495000000000002
10463,5.462000000000002
10464,5.675
10465,3.087000000000002
10466,5.938
10467,5.543000000000001
10468,3.546000000000001
10469,4.284000000000003
10470,4.741000000000002
10471,5.185000000000002
10472,2.246000000000001
10473,5.694000000000001
10474,3.740000000000001
10475,5.492000000000003
10476,3.343500000000002
10477,5.757999999999999
10478,3.516000000000001
10479,3.683000000000001
10480,3.7780000000000014
10481,3.752000000000004
10482,5.67
10483,5.731
10484,1.9640000000000026
10485,3.3680000000000025
10486,2.6760000000000006
10487,2.601000000000001
10488,5.545
10489,4.725000000000002
10490,3.5350000000000024
10491,5.7570000000000014
10492,5.557333333333333
10493,2.5570000000000013
10494,3.2630000000000035
10495,4.011000000000002
10496,3.753000000000003
10497,5.354000000000001
10498,5.995
10499,5.686
10500,4.049000000000002
10501,2.734000000000002
10502,5.414000000000002
10503,5.312000000000003
10504,5.1350000000000025
10505,2.3150000000000013
10506,3.2320000000000015
10507,5.7010000000000005
10508,2.751000000000001
10509,2.6190000000000015
10510,4.027
10511,1.8970000000000016
10512,4.731000000000005
10513,4.314000000000002
10514,3.9740000000000038
10515,2.780000000000001
10516,3.3220000000000014
10517,5.062000000000001
10518,4.501000000000001
10519,5.916999999999999
10520,5.239000000000001
10521,4.547000000000002
10522,4.8945000000000025
10523,4.599000000000002
10524,3.064000000000001
10525,3.814000000000003
10526,2.670000000000003
10527,5.115800000000002
10528,5.850000000000001
10529,4.2040000000000015
10530,4.024000000000002
10531,5.421000000000001
10532,4.554000000000002
10533,4.912400000000001
10534,6.475999999999999
10535,4.806000000000001
10536,4.231000000000002
10537,4.401000000000002
10538,5.72
10539,4.94
10540,3.5630000000000037
10541,2.6300000000000012
10542,4.738000000000004
10543,5.781083333333333
10544,4.207000000000001
10545,4.251000000000003
10546,5.392
10547,5.102
10548,4.0150000000000015
10549,4.353000000000002
10550,5.380000000000001
10551,4.262000000000001
10552,4.755000000000001
10553,5.2194
10554,3.863000000000001
10555,2.755000000000002
10556,5.141000000000002
10557,5.732
10558,5.594000000000001
10559,4.145000000000001
10560,2.7050000000000005
10561,4.679000000000002
10562,5.354000000000002
10563,3.320000000000002
10564,2.717000000000001
10565,3.0675000000000012
10566,3.4330000000000034
10567,3.4870000000000037
10568,3.8020000000000027
10569,4.889000000000001
10570,5.184000000000001
10571,6.047000000000001
10572,5.813999999999998
10573,4.500000000000003
10574,2.7400000000000007
10575,3.733000000000002
10576,1.8560000000000023
10577,1.93
10578,5.217000000000002
10579,5.701000000000001
10580,2.9260000000000024
10581,5.966000000000001
10582,3.9230000000000036
10583,3.2050000000000027
10584,4.277000000000003
10585,3.139000000000002
10586,3.249500000000003
10587,5.711
10588,3.4740000000000024
